L;T;β;mq1;mq2;mπ;Δmπ;mπ0;Δmπ0;mρ;Δmρ;mρ0;Δmρ0;fπ;Δfπ;fπ0;Δfπ0;fρ;Δfρ;fρ0;Δfρ0;mAWI;ΔmAWI;P;ΔP
8;16;6.9;-0.92;-0.70;0.9831660739847787;0.005869182186761726;0.830180724431327;0.008011215020705094;1.0599019422105511;0.004352370973169841;0.9438301511080972;0.005770289739158047;0.1613595385504982;0.0029119053507249406;0.12763252385827717;0.0027268812322547445;0.24822510267791428;0.0029819893974612982;0.21789691422099103;0.003042657283916398;0.25398843149985784;0.006164190090390154;0.5420757647058824;0.0004793940090134918
8;16;6.9;-0.92;-0.75;0.8862231120686798;0.006980795513372439;0.8110485921481347;0.007807918880241416;0.986278706896935;0.005740443881051365;0.9223680396507825;0.0056344999309810755;0.14320494311118523;0.002679091284283494;0.1317499985319516;0.0024381495601108307;0.23640344247668177;0.003485432193576513;0.2234448565416249;0.0029735722356865365;0.20419007892671295;0.009960557954788701;0.5463741764705883;0.0009749460561835609
8;16;6.9;-0.92;-0.80;0.8117028028758174;0.00805811522774214;0.757886141818222;0.008591431950819095;0.9161442657764415;0.006347979015108832;0.8811722034597027;0.006356784437408333;0.13508552596900175;0.0031769419644093492;0.12417582181463097;0.0026687682526608937;0.2310389357199836;0.004016787422967171;0.22419294845332666;0.0031759507696038753;0.16140293822151072;0.00636409745534916;0.549915905882353;0.0006512618410050633
8;16;6.9;-0.92;-0.85;0.68271038592981;0.012032026571787426;0.6926983396840997;0.010176739393175732;0.8410730040590783;0.007190298358113341;0.828345676342893;0.007032554737872032;0.10991221480479584;0.003553425205594373;0.11164615799844682;0.002568507489634383;0.22190931384328458;0.003974179486057964;0.21137487442134756;0.0036643585250138717;0.11633600952868527;0.006455026167921207;0.555060911764706;0.0005218331022549251
8;16;6.9;-0.92;-0.90;0.6021422734107196;0.030894913588480042;0.5705057835722813;0.02193269705434075;0.8063486984271843;0.01147738268047638;0.790202437342555;0.009933221387489184;0.07386002851416977;0.005320866544879916;0.06803745631589833;0.0039407670776732675;0.20815832574220872;0.005891503033053786;0.1974745231476288;0.004325322098329087;0.0661308329723219;0.009411853361554576;0.5630954823529412;0.0006557045142011558
8;16;6.9;-0.92;-0.91;0.5847242395283805;0.03488559859899819;0.5962052167709588;0.024796223780269848;0.7777263443463157;0.015117535751251916;0.784953141868198;0.009994418196865197;0.06992823541800365;0.005564867704445056;0.0738663939320258;0.004267253200573527;0.19422738134255632;0.0065452175720562954;0.19774852874859783;0.004515444992528761;0.05765861514262697;0.007276590632458023;0.5640222235294118;0.0005312568153562441
8;16;6.9;-0.92;-0.92;0.530818542425386;0.014838902022974823;0.543286002415775;0.01029603429102549;0.7320006664654982;0.00759771484148263;0.738380962007038;0.005683370180787046;0.08113343123728914;0.0030112941304497767;0.08363440064275693;0.0021144663854659523;0.18444038986703268;0.0035976845399130087;0.18501411645869426;0.002404365976772948;0.06261842406499869;0.002177707105255215;0.5607324239316241;0.0002535508888920365
8;16;7.2;-0.78;-0.65;0.7738357006690785;0.009831004936350118;0.7418834818189147;0.012003033232666585;0.9006586000499738;0.006227916506295705;0.8714804873147142;0.006903666052198571;0.08354852709039552;0.0017584773326293596;0.07875979306768166;0.0018467268356417677;0.1808054319384371;0.002142356820301218;0.17432380771173717;0.0021848379296016424;0.16077719155123285;0.003587134825990157;0.585787316;0.0002733682529432124
8;16;7.2;-0.78;-0.70;0.7380982341343487;0.016042115743628706;0.7632661416826053;0.017958855976783403;0.8725248197320791;0.006932782543300517;0.8597016876752408;0.007457020531718157;0.06784804726198446;0.002331213314247554;0.07145040367546726;0.002180390417579124;0.1780707320818639;0.002300793366566649;0.17568384513423646;0.0022417561790228197;0.12749861479097244;0.0035396100919213858;0.58713884;0.0002292424797155237
8;16;7.2;-0.78;-0.75;0.8139641019424445;0.03227341297921885;0.788275756193155;0.029338336682051085;0.9379326357039142;0.00577940187953423;0.9281458715505303;0.004814040277078121;0.05093435772207367;0.003482743573340474;0.048504226079661435;0.0025967453189698346;0.19213285494160698;0.0026424200606842497;0.1917637787698398;0.0019379473511995811;0.08906316977206451;0.003158735727519124;0.5893648520000001;0.00019695578012439297
