beta,mass,ampi,ampi_lower,ampi_upper,a0mpi,Delta_a0mpi_lower,Delta_a0mpi_upper,r0mpi,Delta_r0mpi_lower,Delta_r0mpi_upper,mpi_fpi,mpi_fpi_lower,mpi_fpi_upper
6.900000,-0.920000,3.844549e-01,2.929138e-03,1.962425e-03,5.230630e-01,2.165510e-01,2.283079e-01,6.739006e+00,3.832901e+00,1.018382e+01,4.657817e+00,5.018206e-02,4.308891e-02
7.050000,-0.835000,4.360546e-01,1.102622e-03,1.056031e-03,6.980850e-01,2.516343e-01,2.065969e-01,6.437878e+00,4.422069e+00,1.166609e+01,5.344336e+00,1.977302e-01,2.110838e-01
7.050000,-0.850000,3.298100e-01,1.414331e-03,1.158270e-03,5.526867e-01,2.395605e-01,1.566634e-01,4.616371e+00,2.353745e+00,9.347005e+00,4.814236e+00,8.132539e-02,8.769593e-02
7.200000,-0.780000,3.675222e-01,8.245881e-04,7.995082e-04,8.857578e-01,8.466991e-02,7.410601e-02,2.106195e+00,4.088715e-01,5.972145e-01,5.727783e+00,2.486992e-01,2.613648e-01
7.200000,-0.794000,2.852326e-01,3.686081e-04,3.528209e-04,6.204249e-01,1.095114e-01,1.064614e-01,3.708240e+00,1.192896e+00,1.805920e+00,5.018113e+00,5.441533e-02,5.489601e-02
