L,T,β,mu,md,mπ^A,Δmπ^A,mπ^C,Δmπ^C,mρ^M,Δmρ^M,mρ^N,Δmρ^N,fπ^A,Δfπ^A,fπ^C,Δfπ^C,fρ^M,Δfρ^M,fρ^N,Δfρ^N,P,ΔP
8,16,6.9,-0.5,-0.9,1.26095125124868,0.007169960092756,0.985386472693336,0.009337034493504,1.31837524854883,0.005649464238777,1.08791618190129,0.007205950450384,0.189237382943983,0.002885850418968,0.146549456104324,0.003132923618858,0.275871476894306,0.002898715668842,0.241216558671561,0.00278543341318,0.533544182,0.00044603889117
8,16,6.9,-0.55,-0.9,1.2058648142149,0.006055290924786,0.988156444752194,0.009797037758285,1.27304328791147,0.005011489684532,1.08868343759688,0.006929363779575,0.189495703735275,0.002834589147478,0.149431225640101,0.002564752268217,0.279529737968355,0.002843785571685,0.246402750495204,0.002615796565574,0.534906562,0.000361949172999
8,16,6.9,-0.6,-0.9,1.13650993206298,0.007616325510145,0.958196872430152,0.010536843902872,1.21767456432102,0.005918689025763,1.0776125924582,0.005140757034791,0.179220807435343,0.002918198984927,0.147626832495667,0.002935584934368,0.273604364396188,0.003296295018223,0.251306276877892,0.002635395278008,0.536461562,0.000474348646661
8,16,6.9,-0.65,-0.9,1.0910101505197,0.008260390276219,0.95993132666822,0.009715385407052,1.17431554557189,0.006622705897736,1.06052928186946,0.005544181334978,0.175772573142398,0.002314978119195,0.154538645738148,0.003124014296665,0.276839386935323,0.002480356059441,0.256298208610377,0.002040262811516,0.53848939,0.000451774495585
8,16,6.9,-0.9,-0.7,1.02840207768429,0.005551556601335,0.919937607468919,0.005685851610075,1.11876052923928,0.00388073867859,1.03449164521044,0.003963971817381,0.171415841265114,0.001933873877271,0.151122289162319,0.001682426533725,0.276319979671664,0.001728828890412,0.257178690700646,0.001567330040059,0.541131631788079,0.000247106473875
8,16,6.9,-0.9,-0.75,0.953426571493162,0.005763965894399,0.888726451861092,0.00595006627643,1.05524573573622,0.003798363435889,1.00466692255471,0.004085801988803,0.160318773853895,0.00202617968422,0.149895728324944,0.00175954425077,0.270495656534603,0.001863966628851,0.260171130608427,0.001510497882291,0.544053169333334,0.000249640991478
8,16,6.9,-0.9,-0.8,0.867945975516089,0.005776697020031,0.839131387154272,0.005961974781011,0.983805928972823,0.004316614039371,0.963724419765986,0.003975825049556,0.148454442846723,0.001964145217608,0.145443534663926,0.00158020811177,0.260991611628364,0.001832304663319,0.261112405321791,0.001448642942676,0.547150561589404,0.000286045837914
8,16,6.9,-0.9,-0.85,0.771141173353726,0.008320173444813,0.757175609580257,0.007400966207021,0.914647164978529,0.005398604682226,0.906834125064298,0.0046362014904,0.131539750222987,0.002569924706824,0.128627297335348,0.001776895850993,0.255293159348454,0.002064204621224,0.253174636879551,0.001652009250832,0.551614539735099,0.000272697346511
8,16,6.9,-0.9,-0.89,0.675731738650208,0.011958475665682,0.668202776447582,0.009743440207747,0.857636328181839,0.005873638562245,0.853882932287626,0.004686820907667,0.109489917303019,0.002943697094899,0.108335842505748,0.002386628194528,0.246172778288096,0.00236882928865,0.242840788264017,0.001731850234719,0.556303755629139,0.000271044672902
10,20,6.9,-0.7,-0.9,0.995957217586165,0.004985263937463,0.877093262869865,0.00576037693178,1.07669648763562,0.003984328781434,0.988939739625679,0.004794358828738,0.16224416634829,0.00239230961979,0.135030503936252,0.00261433943086,0.25387762041086,0.002403145681231,0.231120888695981,0.002575598071515,0.54097508245614,0.000241022388937
10,20,6.9,-0.75,-0.9,0.926647927395315,0.004678982969892,0.837698469741312,0.006173196861494,1.01286952144496,0.004564596281479,0.954263986436827,0.005151671126995,0.156712592142657,0.00247952258362,0.135986015825354,0.001832181336882,0.252243700113502,0.002319538866095,0.234037782117061,0.002048602912477,0.544548766666667,0.00027537404963
10,20,6.9,-0.8,-0.9,0.826373678302064,0.005847058470286,0.780847362270177,0.006097978253637,0.929611562009633,0.005488118957016,0.90000289909837,0.005113504867285,0.142328392615663,0.002863147620476,0.130737218796562,0.002241188675616,0.238262153916417,0.003065094815866,0.23072966985542,0.002532460296758,0.54774620877193,0.000291345453154
10,20,6.9,-0.85,-0.9,0.721396710137012,0.009807412521193,0.708314814109662,0.007331096639294,0.836740021456224,0.006414322803016,0.837962693377658,0.004986885480073,0.126583873026734,0.003375914499696,0.126299522758241,0.003088100734059,0.228459752600642,0.003010731221245,0.231553099710731,0.002403305815049,0.551848484210526,0.000271084092553
10,20,6.9,-0.89,-0.9,0.60520275880593,0.009722714260115,0.62172632752771,0.009202315486015,0.757750377103903,0.009092829020972,0.763186912612329,0.005693966209626,0.110587674258925,0.004239813875497,0.110241146635705,0.002517880666998,0.217181645841475,0.00368858934195,0.217346237080303,0.00211680721599,0.555916621052632,0.000303205416605
12,24,6.9,-0.9,-0.7,0.993659873018158,0.002206284669184,0.852751956540664,0.002713737382609,1.07258253719378,0.002013263105895,0.958046655132344,0.002583707208218,0.159964121691597,0.001542511662884,0.12664919698091,0.001294407333345,0.246630342273695,0.001574705610699,0.211426956418724,0.001601959925582,0.54109142866242,0.000109740002244
12,24,6.9,-0.9,-0.75,0.91616594628403,0.003268899680402,0.813451319438776,0.004105122049761,1.00116422198533,0.003276724826034,0.922293213139906,0.005852131094847,0.150177101136745,0.00255356861658,0.126056931267562,0.002309638330058,0.238524295785384,0.003086360023862,0.212698187426625,0.003509152130037,0.543972307017544,0.00018642974309
12,24,6.9,-0.9,-0.8,0.827812530547567,0.00447357056856,0.774547500405459,0.005036995134304,0.925570891114049,0.004275524480993,0.882203887557058,0.004433665988237,0.144282547716663,0.002697194825909,0.130593697826266,0.002352284370724,0.236960715677511,0.003253232521856,0.219418414362024,0.002734798140716,0.547425640350877,0.000160668365648
