L,T,β,mu,md,mπ^A,Δmπ^A,mπ^C,Δmπ^C,mρ^M,Δmρ^M,mρ^N,Δmρ^N,fπ^A,Δfπ^A,fπ^C,Δfπ^C,fρ^M,Δfρ^M,fρ^N,Δfρ^N,mAWI,ΔmAWI,P,ΔP
12,24,6.9,-0.9,-0.5,1.22810774946551,0.002618963464341,0.92975207758467,0.003029248932436,1.28375599207111,0.001902828485636,1.02802236716253,0.003213900376542,0.179445807017406,0.001733533181938,0.128802790778935,0.001750225353294,0.253885081022589,0.001649648351617,0.207745809120793,0.002105776373166,0.372376816603067,0.007213942274862,0.533320285714286,0.000156015597234
12,24,6.9,-0.9,-0.55,1.18097092717704,0.002448108987379,0.911970344781987,0.003034423185609,1.238519469583,0.001900048201679,1.01762155487217,0.002814672071836,0.177408759692076,0.001911191853415,0.123855429521047,0.001465047372223,0.252707830728244,0.001763641568044,0.205893231501711,0.001745232131886,0.3398524681679,0.006479298595626,0.534474776623376,0.000163754975607
12,24,6.9,-0.9,-0.6,1.12168618854234,0.001342495786456,0.891048351409674,0.001887289339116,1.18519025470513,0.001118342275846,0.996088073617585,0.001477050915564,0.172723063007631,0.001017086299617,0.122892623952677,0.000931308900979,0.252008218408125,0.001011707115702,0.204849337545912,0.000989733200822,0.305733691103919,0.00314585481999,0.536552068387097,8.09061443575526E-05
12,24,6.9,-0.9,-0.65,1.0560034359704,0.002906280284418,0.867742024401044,0.003031362958326,1.13188863402526,0.002687543823175,0.980314377618637,0.002895097647686,0.161856399178243,0.001995077248505,0.12242694931691,0.001707814742162,0.249085517818264,0.002352469244658,0.210392731932152,0.001884805351669,0.270200730605265,0.005917224246816,0.538576911688312,0.000141449342909
14,24,6.9,-0.9,-0.7,0.993086140784483,0.00155548882573,0.849378843912889,0.001946809366041,1.0704716903094,0.001326145837272,0.959053099199743,0.001495448451753,0.160283780073041,0.001109538216956,0.126156568973843,0.001021633858367,0.246774869920067,0.001160765557475,0.213489906650368,0.001114215751261,0.235533879755098,0.003188064132567,0.540983305649718,8.32879147419447E-05
14,24,6.9,-0.9,-0.75,0.919631163116903,0.00187894220669,0.819949814202849,0.002151874280061,1.00471475735053,0.00150395407228,0.928814353470381,0.001646826234083,0.154757396368583,0.001167861233983,0.12787524970432,0.001041239574638,0.244861133816516,0.00128892121314,0.218377649098078,0.001051494135575,0.199999081963713,0.003180292722136,0.543933068926554,8.43636775732065E-05
14,24,6.9,-0.9,-0.8,0.825568533439257,0.001958487067021,0.768981661628207,0.002485428551189,0.920575226175895,0.001529828640709,0.882028963850603,0.001662936724184,0.141522080626608,0.001273146188353,0.126319969046911,0.001106012080053,0.233150418150599,0.001247608321941,0.217727447970989,0.001087415047873,0.162978389222377,0.002986883320242,0.547363063841808,8.32935955236107E-05
14,24,6.9,-0.9,-0.85,0.713068238150056,0.002382463668186,0.695301404997709,0.002316380791962,0.82272962024323,0.001826515271196,0.81205078772411,0.001771854223844,0.128069901973526,0.001396748936108,0.123449724591272,0.001068270641572,0.218655402435906,0.001365901229471,0.217218508281193,0.001243975596029,0.122034777963167,0.002936399220839,0.551625724858757,7.23341177173075E-05
14,24,6.9,-0.9,-0.86,0.693814774029048,0.003128493703105,0.681921528968206,0.002820219745085,0.805444703680793,0.002468317597493,0.800616872481856,0.002306480580247,0.124232846364709,0.001703436578417,0.122466485492908,0.001417377092506,0.216402121832815,0.001924345332954,0.216663083499885,0.001397108442225,0.110324430047582,0.003176228520629,0.55234978,9.62752357229587E-05
14,24,6.9,-0.9,-0.87,0.660463209149423,0.003696377101571,0.653050268326401,0.002960564977018,0.783000963213892,0.00268588519353,0.771400191250911,0.002623961454131,0.119478965628532,0.00171870313403,0.118678952334337,0.001612594510631,0.215523754587479,0.00182780647262,0.209160506315962,0.00153306819907,0.103400028683839,0.003365197726891,0.553782264545455,0.000120870862448
14,24,6.9,-0.9,-0.88,0.635731721542514,0.004275831757824,0.626074814245725,0.003213084083554,0.75581514506667,0.003028546727662,0.746381893284309,0.002608065135045,0.120230343464516,0.002348307678741,0.113704769660119,0.001490548880558,0.212344653467206,0.002205674193302,0.204310078197841,0.001596192619876,0.096373596020602,0.003426067012889,0.554729864545454,0.000114000425617
14,24,6.9,-0.9,-0.89,0.602691085509132,0.003707242230092,0.596030251735531,0.002884625140526,0.730133079972754,0.002465455041058,0.724810679168652,0.002093407122248,0.113038085418976,0.001791218278786,0.110886365969459,0.001361472774796,0.205735086583764,0.001730538533449,0.200693717474868,0.001248945070765,0.086213713435474,0.002840360460969,0.555821632352941,8.92118095781234E-05
14,24,6.9,-0.9,-0.9,0.560462021013051,0.003651939003674,0.568628223874793,0.002898582543564,0.699335258674697,0.003128182044825,0.697259852413098,0.002142351652861,0.104308397316426,0.001749267686136,0.108624632913635,0.001378954569829,0.19858137406144,0.001921859687912,0.197984959278433,0.001340858494121,0.077088808887959,0.002785482588575,0.556928568,0.000167614763913
12,24,7.05,-0.835,-0.5,1.02530965888204,0.002634994474496,0.738408815347842,0.004643867717114,1.08103910203369,0.002591270701732,0.846750814278832,0.003187447681179,0.138591129138217,0.001959826418192,0.092652938264219,0.001647702462185,0.202277474771127,0.001863685333858,0.15977585757423,0.001734369835904,0.274085605118633,0.006902228483488,0.560270168831169,0.000140345327284
12,24,7.05,-0.835,-0.55,0.965393143196113,0.003617064529161,0.729714650166385,0.004636310706571,1.02635399689283,0.002940009747607,0.829212777881356,0.003708566704221,0.136317781524771,0.0022809033984,0.09615023988138,0.002027109754448,0.202107891422296,0.002289837813227,0.16165259971967,0.00206025108944,0.247627433382181,0.006456514921632,0.561750319480519,0.0001727887647
12,24,7.05,-0.835,-0.6,0.903372153379019,0.003407943887306,0.702202639524152,0.005069866886197,0.966562760310461,0.002635830476828,0.807214003294372,0.003283454766651,0.130896832647097,0.001967794360635,0.093519970496019,0.001741950830641,0.197295762037342,0.001934538882436,0.160421414276009,0.001787579345788,0.216197255754795,0.005915384644011,0.56355642987013,0.000141829054008
12,24,7.05,-0.835,-0.65,0.828314981426685,0.004349087374521,0.668982453718788,0.005127534080698,0.900960939485691,0.003487628915686,0.77483547401224,0.004408754101564,0.122600057969516,0.002163010254825,0.091733311512258,0.001819942268539,0.191870807776139,0.002124798650417,0.161197576035403,0.002196307528108,0.182049287860376,0.006228723837539,0.565445076623377,0.000130031235716
14,24,7.05,-0.835,-0.7,0.7502712729194,0.003275071081742,0.6420755578392,0.004813857251036,0.827548603192024,0.002733883889563,0.750631020309781,0.003773747310922,0.116556036500816,0.001813862024201,0.093964140322903,0.001637112494101,0.18644895725129,0.001541023476388,0.165083593039914,0.001951805457535,0.149026449308084,0.004363665720826,0.567779737662338,0.000104282215347
14,24,7.05,-0.835,-0.75,0.658957135925964,0.00438704194327,0.611999689306847,0.004801515592011,0.745667389205693,0.003501590773719,0.710851385787002,0.003472196631712,0.10953894253139,0.002021296612016,0.099878040660568,0.001603909030372,0.178418959507934,0.001838806372161,0.169896779532187,0.001647685729709,0.118432021559894,0.004354833226421,0.570039628571429,0.000100601144998
14,24,7.05,-0.835,-0.8,0.541710892348574,0.007169352098404,0.531527621083976,0.004405565312834,0.649794975367648,0.004147999424823,0.64434044121624,0.003558278439388,0.092041313348932,0.002748662851395,0.090906154132188,0.00170608851956,0.166290695916463,0.002468857825951,0.163947961639274,0.001619721446425,0.078974678966018,0.003861774519366,0.573136927272727,9.76931851183438E-05
14,24,7.05,-0.835,-0.82,0.496410285828059,0.007076113702991,0.484508069422774,0.004486183524327,0.615463125158414,0.003970657622527,0.609690583637308,0.003649904946064,0.086209542140856,0.003152297967927,0.084528210076386,0.001752528567278,0.16131425692113,0.002355313558558,0.160640674092829,0.001670144114372,0.064472582145227,0.003981804702029,0.574176527272727,0.000116878792447
14,24,7.05,-0.835,-0.83,0.47244976021174,0.006541214067056,0.469230193056323,0.005182214990605,0.590353856335034,0.004454783567242,0.59304311533107,0.003462134110681,0.085119186632286,0.002660615563487,0.085061430572703,0.001948442247109,0.157670219241392,0.002413563359972,0.160416603420291,0.00180143272542,0.060664554186844,0.004139305935503,0.574912763636364,0.000103237107087
14,24,7.05,-0.835,-0.835,0.444580843607479,0.006201475805157,0.447226493115249,0.005077308837804,0.574769766270801,0.003947968493238,0.577564854085054,0.002936265549941,0.076958918252545,0.002166236963256,0.080667155736963,0.001526966425577,0.153139620484414,0.001719261853615,0.154937204629347,0.00146876626765,0.051028451579827,0.002884671306404,0.575476700854701,0.000195402395058
14,24,7.2,-0.78,-0.5,0.842489370314613,0.002063149132912,0.581858523601257,0.003550182418951,0.89672096805938,0.001850552751981,0.685015386233836,0.002390871433091,0.107968263547327,0.001041447741238,0.073638741248419,0.001119176927321,0.159186834927068,0.001040248041282,0.127986636406587,0.001037798250439,0.211380302234508,0.003865127961982,0.581081584615385,6.8528547372602E-05
14,24,7.2,-0.78,-0.55,0.777902324001364,0.002427547933486,0.565856737612797,0.003838134197218,0.838488734086087,0.001958789552246,0.667876615196294,0.002428368730244,0.10325656007114,0.001102123670872,0.074226583774906,0.001089078790335,0.157148646350939,0.001066582140493,0.129028062044816,0.000964388424952,0.181047340388857,0.003622919717537,0.582224525,7.19372042471428E-05
14,24,7.2,-0.78,-0.6,0.71803723478345,0.002746269946302,0.559787821627369,0.003807728707646,0.782340329429533,0.002153121586086,0.658816513647669,0.002855966171236,0.102056247786451,0.00116394894092,0.07654550431041,0.00106830187022,0.158295875704672,0.001064185524447,0.13252449593907,0.001078636540882,0.153315549227357,0.003466097634134,0.583421518881119,6.61974501702576E-05
14,24,7.2,-0.78,-0.65,0.637919785140165,0.002835957074473,0.54219929180859,0.003873743456323,0.716165927118989,0.002087613913085,0.639408609275336,0.002858294381935,0.092868909602967,0.001156487946413,0.079091283157039,0.001129451240116,0.152555705897414,0.001026710007851,0.137039138011803,0.001068292749689,0.126988758710146,0.003040298259059,0.58484279020979,6.19487047302657E-05
14,24,7.2,-0.78,-0.7,0.557710763529848,0.00344276698075,0.513392669950455,0.004055205900472,0.643808379493717,0.00221807841047,0.611776041954844,0.003068558069925,0.085537098622706,0.001467235954653,0.079870765781685,0.00108285510568,0.147316682830454,0.001207673828423,0.139786534109745,0.001159094807624,0.096728078328337,0.003022282465181,0.586336989583333,6.31710669986451E-05
16,32,7.2,-0.78,-0.73,0.484429635724511,0.005080749022394,0.445685459549495,0.005445113035871,0.573110109059471,0.004586549610291,0.550587658506932,0.003691142173625,0.077927092497632,0.002575951901394,0.068641702949148,0.002134496755652,0.131008372510681,0.002778383316143,0.125339716793091,0.002031264556287,0.077717637650531,0.003890623523763,0.587427970666667,6.40298132009339E-05
16,32,7.2,-0.78,-0.75,0.437941938303047,0.005425115226127,0.432707049387885,0.005825435338166,0.535690660957603,0.004395965319122,0.524248667531479,0.006564189993808,0.069442765611276,0.002714942786456,0.071672230688471,0.00255521684879,0.125063721932046,0.00262856271186,0.122105518742606,0.003820632993436,0.064256818050547,0.003715927273564,0.588181901333333,5.93976953775839E-05
16,32,7.2,-0.78,-0.77,0.395606118843992,0.008471660374002,0.387454394139073,0.005943731494706,0.492917585105052,0.005310027907643,0.49184227393346,0.003900295249941,0.068746522665899,0.003508000113949,0.065070490990264,0.002267615167993,0.119834660983717,0.003315162275756,0.11590741392379,0.002099445026413,0.054343391166768,0.003597428631185,0.588923293333333,5.59436603551644E-05
16,32,7.2,-0.78,-0.78,0.38228956969419,0.005796017966758,0.388549433089151,0.004560407193213,0.48167352622869,0.003779757633581,0.484134867184279,0.002839935046315,0.066790106259345,0.002300882831627,0.068062789997522,0.001788361763061,0.11691318661925,0.002277699376938,0.116236014456746,0.001605015499454,0.048914056050059,0.002825380649601,0.589226598675497,3.92114546490438E-05
12,24,6.9,-0.92,-0.5,1.19845464706197,0.003360402782796,0.870993849389314,0.004917867430444,1.25344866112548,0.00314013789878,0.98500706850462,0.004532257396397,0.179398829293188,0.002418277090794,0.118159333751688,0.002415546653574,0.251856849013073,0.002542307308894,0.202320762222666,0.003501457589717,0.358389328975871,0.008878327971425,0.534907045454545,0.000219129142923
12,24,6.9,-0.92,-0.55,1.14375858999683,0.00410365536491,0.857018460480231,0.005327097663412,1.20400644259828,0.003883668366027,0.967143471491987,0.003931274244833,0.168883521033866,0.002802655205428,0.115913495171327,0.002951607816223,0.244702169814475,0.003269442263578,0.199588491477845,0.002601708043123,0.314081487159606,0.007449338487299,0.536422506818182,0.000162942761023
12,24,6.9,-0.92,-0.6,1.08365355353849,0.003543290309142,0.831626008269191,0.00563551574911,1.15357182825016,0.003064500629866,0.945073594625924,0.005062031677056,0.16684079072131,0.002858175487153,0.117593352284056,0.003097450402935,0.248562668080065,0.002659555034199,0.200707448819878,0.002983688952824,0.284163120300142,0.009564941266212,0.538519954545454,0.000220982315568
12,24,6.9,-0.92,-0.65,1.0309091554768,0.003926409673033,0.807445222787038,0.006814965043282,1.10711278089831,0.003386376346651,0.926509778825292,0.005686525338708,0.163842139569576,0.002239646303602,0.114518246483198,0.003271181634898,0.248826932963123,0.002233663374699,0.200051570298098,0.003116958236626,0.257462762768815,0.007585269987738,0.539871790909091,0.00025143268348
12,24,6.9,-0.92,-0.7,0.958140217641512,0.004984675366769,0.778994720376421,0.006553197577273,1.04039819942083,0.003867800410792,0.899988131507455,0.005213372884697,0.154949528649314,0.002974369127199,0.117110771447663,0.002886376708655,0.243918031688266,0.002946351003328,0.202767477893083,0.003205327665538,0.216971993599694,0.009273670467254,0.542726481818182,0.000222646205183
12,24,6.9,-0.92,-0.75,0.869997460363278,0.005117696921705,0.751519659607976,0.006711466789781,0.959420766360113,0.004081766047962,0.870475315721076,0.004597352909123,0.142757208922086,0.003149977151971,0.11805573327201,0.003404011709975,0.232647913676363,0.003384997713226,0.207384530694699,0.003344170981179,0.179531239741277,0.007488360275828,0.54592935,0.000178811590019
12,24,6.9,-0.92,-0.8,0.764520259508585,0.005572665167968,0.668987065084678,0.008869238321907,0.866748576811562,0.004180997917706,0.810464517551007,0.006882856515369,0.132567788029845,0.003060603588747,0.110384591828996,0.00344805748572,0.223377060079364,0.003622636892762,0.203971305985872,0.003765957042474,0.142620470047713,0.008016110013424,0.549791502272727,0.000193709095034
14,24,6.9,-0.92,-0.85,0.659964839729074,0.004656212954945,0.631657233736503,0.004824711608322,0.781774877477389,0.003593115016562,0.755639821440814,0.00346981779734,0.121056815097902,0.002147538851174,0.113788866539925,0.001831401507874,0.215820479598888,0.002415457640711,0.203802569462437,0.002153038275161,0.105572979284992,0.003714071552813,0.553846075324675,0.000116705595977
